"filename", "language", "JavaScript", "TypeScript", "JSON", "Gemfile", "Ruby", "HTML", "Ignore", "Markdown", "Log", "CSS", "Docker", "YAML", "Shell Script", "comment", "blank", "total"
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/trix-ac629f94e04ee467ab73298a3496a4dfa33ca26a132f624dd5475381bc27bdc8.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -367, 0, 0, 0, -4, -5, -376
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/turbo-75fdf390d33bd1a4dcbba67f94d1c3ec9257fc8b8437b17a1999a61a8ebe3718.js", "JavaScript", -3865, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -185, -4050
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/assets/turbo.min-e5023178542f05fc063cd1dc5865457259cc01f3fba76a28454060d33de6f429.js", "JavaScript", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4, -28
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite-dev/assets/index.0f8d6f08.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite-dev/assets/index.2a00ba8d.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite-dev/assets/index.51092335.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite-dev/assets/vendor.15ba77bc.js", "JavaScript", -309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -110, -52, -471
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite-dev/manifest-assets.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite-dev/manifest.json", "JSON", 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/assets/index.04b9c710.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/assets/index.0f8d6f08.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"/Users/gaizkaurdangarin/Documents/vs_projects/errentaeusreact/public/vite/assets/index.253f9695.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
